genre,late_minus_early,feature
metal,-74764.36953017046,duration_ms
mpb,37309.508362982044,duration_ms
new wave,,duration_ms
pop,40525.20162304264,duration_ms
pop rock,6929.50429752958,duration_ms
post-hardcore,,duration_ms
post-punk,,duration_ms
power metal,,duration_ms
progressive metal,,duration_ms
progressive rock,-14777.229166666686,duration_ms
psychedelic rock,25103.4425237776,duration_ms
punk,-50935.235394692456,duration_ms
rap,,duration_ms
reggae,14133.391405127244,duration_ms
rock,42711.435580874444,duration_ms
samba,30542.2484123107,duration_ms
shoegaze,,duration_ms
singer-songwriter,17909.203737190343,duration_ms
soft rock,32635.55541958043,duration_ms
soul,31728.359693270788,duration_ms
soundtrack,32183.156816445582,duration_ms
synthpop,10458.478931750753,duration_ms
thrash metal,,duration_ms
