feature,n_tracks,n_nonzero_tracks,n_zero_tracks,nonzero_share,mean_tfidf,std_tfidf,mean_nonzero_tfidf,median_nonzero_tfidf,max_tfidf
back,97883,20783,77100,0.212324918525178,0.01954369516147642,0.056546676748299204,0.09204616818990503,0.0616010769601013,0.9025900585158608
bad,97883,7036,90847,0.07188173635871398,0.007998244091447804,0.04189463765907933,0.11126948925571138,0.07510033242848395,0.9929869446863572
bag,97883,1181,96702,0.012065425048271917,0.0013440419480414134,0.015852339683244687,0.11139615410680581,0.08379979224894,0.8152211972671708
ball,97883,1194,96689,0.012198236670310473,0.0014832299115827906,0.018252603653000774,0.12159379684711749,0.08852106916369851,0.8428926108872934
band,97883,1040,96843,0.010624929763084498,0.0014726212979341447,0.019939964999897537,0.13860056779393065,0.09846562220750195,0.9465826168243916
bang,97883,664,97219,0.006783609002584718,0.0014550037906159532,0.026178120262806557,0.21448815668202015,0.11539084275916026,0.9880745866604372
bar,97883,1449,96434,0.014803387717989846,0.0016828308436452884,0.017779247527845137,0.11367876567876586,0.0881593136749386,0.9596881429815324
bare,97883,1293,96590,0.01320964825352717,0.0015925791297159795,0.016576765478133446,0.12056181202938067,0.0964460908645306,0.6402150848706645
battl,97883,1056,96827,0.010788390220978106,0.0015463411450934031,0.01899170458177546,0.1433338165768727,0.111112514746118,0.9862020450267266
beach,97883,884,96999,0.009031190298621823,0.0012641779846486838,0.01754502983206765,0.13997911048797188,0.103021147218404,0.9451922956584136
bear,97883,3881,94002,0.03964937731781821,0.004910848445996617,0.032755041205698464,0.12385688699806412,0.0888443728563561,0.983750243297766
beast,97883,799,97084,0.008162806616062033,0.0012797167128259662,0.017945382353809783,0.1567741063849112,0.123108158060135,0.9127250032331616
beat,97883,4668,93215,0.04768958859046004,0.005148720396842959,0.03279918786662461,0.1079631959306297,0.07466091962790525,0.9844317438230256
beauti,97883,4708,93175,0.04809823973519406,0.006650528265818701,0.04124405520702886,0.13826968102020645,0.09350649392894306,0.9441656938496824
becom,97883,3920,93963,0.04004781218393388,0.004680386435014205,0.029545833520646887,0.11686996566798354,0.08775201118300885,0.934009783954048
bed,97883,4144,93739,0.04233625859444439,0.0042892106265655615,0.025953107964179437,0.10131293527029847,0.077901955969198,0.702453827694592
beg,97883,1555,96328,0.015886313251534997,0.0020407547862863833,0.020313197540510582,0.12845993617110618,0.0976080451655929,0.8876081908281608
begin,97883,4247,93636,0.04338853529213449,0.004861980624245974,0.029896653982618697,0.1120568046722554,0.0849701153049401,0.8978743309557675
behind,97883,5476,92407,0.05594434171408723,0.005739361011277488,0.0297650245962958,0.10259055402974328,0.07992207248028615,0.7620096526225764
believ,97883,9086,88797,0.09282510752633245,0.010735351357850234,0.04885418165204097,0.11565137540837055,0.07678883599365095,0.959618262472462
bell,97883,905,96978,0.009245732149607184,0.0014184130514400285,0.01923559791036279,0.153412734490723,0.1177988547844408,0.9572420464049582
belong,97883,1880,96003,0.019206603802498903,0.0029575134221828305,0.028514441102673767,0.15398419484229894,0.10587412883594169,0.975911993518132
bend,97883,1047,96836,0.010696443713412952,0.0014941605603798651,0.017844566594773462,0.13968760088983984,0.1094484041018337,0.9659921568826064
beneath,97883,1435,96448,0.014660359817332939,0.002064821026746161,0.020201505652686344,0.1408438164188115,0.1170467773413017,0.7482907879490744
besid,97883,1178,96705,0.012034776212416866,0.0016482927869163775,0.01849076740741962,0.13696081736989452,0.11044456805308181,0.7917441470537016
bet,97883,1308,96575,0.013362892432802427,0.0017063624666604897,0.019457203098621263,0.12769409581355406,0.09330860187128526,0.8665912506585185
beyond,97883,1775,96108,0.0181338945475721,0.0027166902487251827,0.02484262788114378,0.14981284034702372,0.1160915872459469,0.8669581802083126
big,97883,4705,93178,0.048067590899339006,0.005246750706270717,0.03321221129568572,0.10915360241910663,0.0749426447056307,0.9422323950715604
bind,97883,1017,96866,0.010389955354862437,0.0014997995168220526,0.017759137422543918,0.14435091062447686,0.1161169250060986,0.780679782382107
bird,97883,1675,96208,0.017112266685737055,0.002454853356448235,0.024531784170953617,0.14345576781446123,0.10731355084139,0.9710042712191054
bit,97883,2031,95852,0.020749261873869825,0.0028048601013014244,0.026329874619380515,0.13517878941195832,0.0915158052091658,0.9231714182570282
bitch,97883,2187,95696,0.0223430013383325,0.003954623611872865,0.03662233787996153,0.17699607818973556,0.1078319152877289,0.9955616374264148
bite,97883,1313,96570,0.01341397382589418,0.0017169143279051659,0.01976493778156681,0.12799445937421275,0.0918723412046223,0.8746706253399004
bitter,97883,1138,96745,0.011626125067682846,0.0015865992810270098,0.018206304055527037,0.13646845116411846,0.10807320220189755,0.8379722813754935
black,97883,5390,92493,0.055065741752909084,0.006557589261466583,0.03780150597027796,0.11908655096106373,0.0849925565815268,0.9438119578507892
blame,97883,2231,95652,0.02279251759753992,0.0030164832284122023,0.027199165406911176,0.1323453284834924,0.0937736814845101,0.9722329311067248
bleed,97883,2329,95554,0.02379371290213827,0.0032190356032159553,0.026287119486490193,0.1352893353154089,0.1048415150209752,0.985735380990232
bless,97883,1257,96626,0.012841862223266554,0.0017446352372767022,0.019929692434658582,0.13585531498039413,0.0995114687689792,0.9293454407216376
blind,97883,3522,94361,0.03598173329383039,0.004237736714133171,0.02863409478458381,0.11777466859440579,0.08982759890725886,0.9743133254359448
block,97883,1060,96823,0.010829255335451508,0.0011447075355055071,0.014370656702343209,0.10570510160177883,0.08122118380463025,0.8794096633451642
blood,97883,4847,93036,0.04951830246314477,0.006220000202460469,0.03613649489544951,0.12561012581337697,0.0938968441431659,1.0
blow,97883,3807,94076,0.038893372700060276,0.004284875691045005,0.028811007165499464,0.11016981541018078,0.0811169969307597,0.99205986790746
blue,97883,4835,93048,0.04939570711972457,0.006501435514976517,0.04017242102230339,0.13161944415976143,0.0909168090494481,0.9715093020857888
boat,97883,740,97143,0.007560046177579355,0.0011602025524425415,0.01751975987374568,0.15346500870369364,0.11730964911813979,0.993940604772296
bodi,97883,6092,91791,0.06223756934299112,0.006909122247299701,0.03666987682233008,0.1110120835411091,0.07983043304170684,0.932430017653047
bomb,97883,782,97101,0.007989129879550074,0.0012444972792084077,0.019629493769089273,0.15577381992424116,0.10230612953757234,0.951853352608806
bone,97883,2540,95343,0.02594934769061022,0.0032256450059135267,0.025653702545249676,0.12430543705269045,0.0964751887324664,0.9613262267873972
book,97883,1504,96379,0.015365283041999122,0.0018280163368290605,0.018311455703928958,0.11897056057037163,0.09533659671576206,0.7519764586967114
boom,97883,389,97494,0.003974132382538337,0.0009814693534902048,0.022830080731976413,0.2469644337472538,0.132365728071608,1.0
bore,97883,1019,96864,0.01041038791209914,0.0013981781461736278,0.018239447026597713,0.13430605641012094,0.0993111409458114,0.9845328556320768
bother,97883,772,97111,0.00788696709336657,0.00116044607783319,0.017150815994476765,0.14713464175718413,0.1069014251413368,0.951202863909952
bottl,97883,1166,96717,0.011912180868996659,0.0013862266355445917,0.016380572765369934,0.11637051609520695,0.08897394352248565,0.6741500332747609
bottom,97883,1109,96774,0.011329852987750681,0.0015321182679142178,0.01880006559061565,0.13522843319950167,0.097414558281623,0.9633142679923182
bounc,97883,340,97543,0.003473534730239163,0.0006661971931542581,0.016942323574500255,0.19179229369858303,0.10806543551959165,0.9862977471367296
bout,97883,2360,95523,0.024110417539307132,0.0026104095863065903,0.02330960474256443,0.10826894980357964,0.07209362511820111,0.8768626233768978
bow,97883,848,97035,0.008663404268361206,0.0013218422182205507,0.017963997860301437,0.15257769085622896,0.1172874778559158,0.8191742993672122
box,97883,803,97080,0.008203671730535435,0.0010748035255196116,0.015489894001209321,0.13101493585110355,0.1031801124746256,0.915799004779259
boy,97883,6434,91449,0.06573153663046699,0.008177904848594734,0.045956928946926566,0.12441371779530594,0.0767993384825283,0.9584494010021763
brain,97883,1991,95892,0.020340610729135806,0.002360256881853764,0.021034252353591472,0.11603667723078451,0.0910628206201119,0.7862315837940151
brand,97883,908,96975,0.009276380985462235,0.0011929774265499952,0.015777791671652296,0.1286037548931643,0.0958710727552575,0.7091086445262454
brave,97883,762,97121,0.007784804307183066,0.001210506857655757,0.01735961728943348,0.1554961190917565,0.11537982840763361,0.9374190424584392
break,97883,11395,86488,0.11641449485610371,0.011121364451151004,0.04367123096420352,0.09553247183606965,0.066191114413291,0.9447750690663952
breath,97883,6899,90984,0.07048210618799997,0.00770776054400511,0.03828651310842215,0.10935769319160055,0.078793832907553,0.9350109872697546
breez,97883,934,96949,0.009542004229539347,0.001329353616649297,0.01632670338188414,0.1393159743666843,0.11104470803069624,0.7414789544606065
bridg,97883,987,96896,0.010083466996311923,0.0015340678706986142,0.019233901321204134,0.15213694568145125,0.1170485650936968,0.8328214797407257
bright,97883,2642,95241,0.026991408109681966,0.003295358381498672,0.025144935531367287,0.122089161414169,0.0945545335003067,0.9829130627674266
bring,97883,6742,91141,0.06887815044491893,0.007528528863194316,0.03824257978920031,0.10930213448769642,0.07802403622623845,0.9730734519777317
broken,97883,2471,95412,0.025244424465944035,0.003113774655741722,0.02453669309399026,0.1233450443658304,0.0928553951947189,0.7883090544839967
brother,97883,2128,95755,0.02174024089984982,0.00278579609199023,0.02554504421095434,0.12814007465802618,0.09107879303055841,0.9683380702742084
build,97883,3068,94815,0.03134354280109927,0.0038669921873546766,0.02848519797816567,0.12337444467889107,0.0892490662758097,0.8285950248106169
bullet,97883,879,97004,0.008980108905530072,0.0013138818645412758,0.018563099067934217,0.14631023725471412,0.1055490037169135,0.8937608028520172
buri,97883,1569,96314,0.016029341152191904,0.002324261625659343,0.023088681885616896,0.14500044659299774,0.1119253244476451,0.8996952722075349
burn,97883,7820,90063,0.07989129879550075,0.009448444846269747,0.04476065556673939,0.11826625663522017,0.0829588111595056,0.9804695209830292
busi,97883,1307,96576,0.013352676154184076,0.0015526435904984956,0.01872437878952474,0.11627958115437202,0.0806683406968172,0.8721618486289949
buy,97883,2505,95378,0.02559177793896795,0.002725416396612841,0.022313991786272462,0.10649578169646895,0.0806387377941766,0.9177276394239764
bye,97883,423,97460,0.004321485855562253,0.0012554883366651328,0.02503990568604678,0.2905223755503385,0.1993909359315884,0.979280904169974
call,97883,12138,85745,0.12400518986953812,0.012291169032060095,0.04800781420393415,0.09911818243245496,0.0669184178050055,1.0
calm,97883,1319,96564,0.013475271497604283,0.002010694056395584,0.022104258835400247,0.14921362116919554,0.1168257255483109,0.9426323637028344
car,97883,3257,94626,0.033274419459967515,0.0032955682376460843,0.02351821559900419,0.0990420957339612,0.0749975259034579,0.8872260724500812
care,97883,7266,90617,0.07423148044093458,0.00815490600715096,0.04066625611023953,0.10985778484695258,0.07699501788682825,0.993498717895564
carri,97883,2779,95104,0.028391038280395985,0.003911014985342266,0.03069293807565108,0.13775526441534974,0.1006172149675275,0.9964707087880506
case,97883,1031,96852,0.010532983255519345,0.0012902612481876608,0.016744241560152844,0.12249722769772338,0.090807160501952,0.9155248269052868
cash,97883,750,97133,0.00766220896376286,0.0008073425736330398,0.012054906394924698,0.10536681751323043,0.07693050858783651,0.8390160397525048
cast,97883,1062,96821,0.01084968789268821,0.0015143273380456154,0.017322035487024722,0.13957335483043218,0.11496467785267275,0.791916384195766
cat,97883,890,96993,0.009092487970331927,0.0012952297555147807,0.018970156255292685,0.1424505327629812,0.10034520436668559,0.967101826336947
catch,97883,4908,92975,0.050141495458864156,0.005166925380870515,0.03119733222104557,0.10304689426563746,0.07327669596519146,0.9336413267394656
celebr,97883,713,97170,0.007284206654883892,0.0011696115919741104,0.018807707984664208,0.16056815071136307,0.1140548489573339,1.0
chain,97883,1685,96198,0.017214429471920558,0.0022252180492514364,0.022890206921337943,0.1292646992966637,0.0966554242698761,0.9944781584142888
chanc,97883,3796,94087,0.03878099363525842,0.004341208145039651,0.028313812478999185,0.11194164300867128,0.08211418453875666,0.8284961269988186
chang,97883,9312,88571,0.09513398649407967,0.009962280957505492,0.04316429256009981,0.10471842213955221,0.07268775551566739,0.9395357292088335
chase,97883,1877,96006,0.01917595496664385,0.002334993677992834,0.021420476215944992,0.12176674809961244,0.0923558634745738,0.7547605329017869
check,97883,1549,96334,0.015825015579824894,0.0016304643887354127,0.017642952381593507,0.10303082360399508,0.0755274366622066,0.9233940669183656
chest,97883,1525,96358,0.015579824892984482,0.0018418187739746338,0.01743543046396701,0.11821819478882564,0.0977386564263876,0.4937640899297317
child,97883,3974,93909,0.040599491229324804,0.004961573837661693,0.032641084768965274,0.12220778358123792,0.08778826107660659,0.9423991657966528
choic,97883,1192,96691,0.012177804113073771,0.0015736599571696463,0.017509786087569503,0.12922362213727892,0.1031058580254745,0.673046567709326
choos,97883,2480,95403,0.02533637097350919,0.0031415771540933206,0.02529099715423789,0.12399475668311151,0.0961910428116034,0.8998049448554114
chorus,97883,840,97043,0.008581674039414403,0.0019151612231458623,0.02376286604749265,0.22316872143474578,0.20242983749576535,0.76951583610491
christma,97883,414,97469,0.004229539347997098,0.001033510358890407,0.02218163401655307,0.24435530062625535,0.13360071895807105,0.9481672571857288
circl,97883,1344,96539,0.013730678463063044,0.0020402057655258036,0.02238674422649185,0.1485873965379183,0.11157927467528006,0.9439805341929248
citi,97883,3599,94284,0.03676838674744338,0.004652053882280759,0.03312561597390993,0.1265231981548451,0.0871560684228242,0.892046656903854
clean,97883,1547,96336,0.015804583022588192,0.0020382175874348353,0.02063032494385671,0.1289637053076173,0.1007743359525681,0.9506260671469142
clear,97883,3353,94530,0.034255182207329156,0.0037101210328453786,0.025013715741837705,0.10830831406442121,0.0846790297246663,0.9426983674304358
climb,97883,1545,96338,0.01578415046535149,0.001993724891276583,0.01975227503927853,0.12631182752933706,0.0997110588779687,0.9348249814760998
clock,97883,1302,96581,0.013301594761092324,0.001547053265098339,0.016630393431186448,0.11630584850047672,0.09157868087212775,0.8124583882489731
close,97883,9060,88823,0.09255948428225534,0.009212660736516125,0.0395380563757666,0.09953232570335627,0.0712623567003691,0.9260561636980856
cloth,97883,1853,96030,0.01893076427980344,0.002005900859212441,0.018312237329802805,0.10595984554899696,0.0832109025387068,0.7763631302152499
cloud,97883,2670,95213,0.02727746391099578,0.0033066394215314618,0.0247287227071672,0.12122239194672813,0.0969131366546215,0.9172814220780128
club,97883,858,97025,0.008765567054544711,0.0010682301931468315,0.016147207166667486,0.12186663868973346,0.0776143929088243,0.8024839355255274
cmon,97883,546,97337,0.005578088125619362,0.001007985430670204,0.01914419372059926,0.18070446503716409,0.10757190440567226,0.9784766081363055
cold,97883,6774,91109,0.06920507136070615,0.007206978279713854,0.035154727295813946,0.10413945304889742,0.07767182714474995,0.9412841837191936
color,97883,2242,95641,0.022904896662341776,0.0031235866323954843,0.027158983932684795,0.1363720028272824,0.10043375986129514,0.9953393337192076
come,97883,32507,65376,0.33210056904671903,0.029398588234898788,0.0664758574553897,0.08852314923544463,0.0587473262757623,1.0
comfort,97883,1050,96833,0.010727092549268003,0.0015404381174593368,0.018585897793956224,0.14360257547740216,0.11162147877215425,0.924278515075354
comin,97883,1001,96882,0.01022649489696883,0.0014585439095884708,0.02066230611541382,0.14262402947277553,0.0892279539939895,0.9744375947796322
complet,97883,1157,96726,0.011820234361431505,0.0016429038693009882,0.0189680664381352,0.13899080331788127,0.1064631388379961,0.9243096731914012
confess,97883,778,97105,0.007948264765076674,0.001137669939556659,0.01543885994199238,0.14313437878357899,0.1130153555419465,0.691589818693318
confus,97883,1510,96373,0.015426580713709224,0.0019604619626625895,0.020312739621467707,0.1270833763518558,0.0997248695045917,0.9212970412610668
connect,97883,751,97132,0.00767242524238121,0.00115781945210892,0.017174675065845982,0.15090657980130148,0.1123608926478936,0.9718367587263208
control,97883,3320,94563,0.033918045012923594,0.004300837974097407,0.031818906423475075,0.12680088054776398,0.08955553456586605,0.9562567315620374
cool,97883,2294,95589,0.023436143150496,0.002909733741138311,0.026986687876271395,0.124155827281535,0.08393800342896315,0.9510505107293736
corner,97883,1808,96075,0.018471031741977666,0.0022061467267951765,0.02009430081190081,0.11943819693522803,0.0926366381959592,0.6686690553448634
cos,97883,856,97027,0.00874513449730801,0.001476713577319844,0.019424557591241547,0.16886116248691388,0.13379157786890805,0.7458115113269915
could,97883,18787,79096,0.19193322640295046,0.01791583297887868,0.05316510048779237,0.09334409322784806,0.0644800793885924,0.9265824241717292
count,97883,2328,95555,0.023783496623519917,0.0029376584965208423,0.025287805969461247,0.12351667809920516,0.0897588770698072,0.9874572245873956
countri,97883,927,96956,0.009470490279210894,0.0014582115240030819,0.02043599844626638,0.15397423797626072,0.1088021159341852,0.9747825223728652
coupl,97883,922,96961,0.009419408886119142,0.0010094167462928409,0.013241983097717739,0.1071634917325186,0.08385062204939275,0.6990895584194644
cours,97883,854,97029,0.00872470194007131,0.0012285746721658218,0.016630258446665384,0.1408156611658163,0.1080152086832899,0.8456814325584046
cover,97883,2167,95716,0.02213867576596549,0.002770506844011523,0.023487026983557993,0.1251432955294785,0.0963399435443197,0.898700315365056
crack,97883,1609,96274,0.016437992296925923,0.001907057854686693,0.018747728251823127,0.1160152541891222,0.0917711571020823,0.9748703592212602
crash,97883,1359,96524,0.013883922642338302,0.0018694646939737287,0.020609288908172037,0.13464960459178107,0.0989213924204956,0.9779878438519848
crawl,97883,1458,96425,0.014895334225555,0.0020599773179804377,0.02110724519922157,0.1382968174320159,0.10938979273407101,0.8670731562032172
crazi,97883,4265,93618,0.04357242830726479,0.005286179163826469,0.03585171943009474,0.12131936110031097,0.0794220840485539,0.994589257603027
creat,97883,1052,96831,0.010747525106504705,0.001541488847799426,0.018014994764309667,0.1434273316436799,0.1169214161752777,0.7540554421635332
cri,97883,8806,89077,0.08996454951319433,0.010094613964989584,0.046083655466582,0.11220657491881393,0.07779230850176619,0.9829296252906826
crime,97883,1109,96774,0.011329852987750681,0.001562465398303968,0.019337646573622774,0.13790694371703097,0.1029179010639504,0.9734146965335077
cross,97883,2580,95303,0.02635799883534424,0.0031528442856079883,0.02438365759286574,0.11961622372409562,0.09078789118506525,0.8570512123844359
crowd,97883,1764,96119,0.018021515482770246,0.0020146273014967062,0.018921634257009493,0.11179011573265425,0.08814910434494144,0.7902236924651664
crown,97883,831,97052,0.00848972753184925,0.001241587371664618,0.016685782629906325,0.1462458444051117,0.1119958173326998,0.7247692517176728
cruel,97883,746,97137,0.007621343849289458,0.0012781748325892768,0.019201736212553788,0.16770990233020935,0.12236150036068805,0.9430289872774866
crush,97883,857,97026,0.008755350775926362,0.0014190534875323595,0.020099436566479095,0.16207842767809796,0.1196585963363541,0.9870609804158788
cup,97883,885,96998,0.009041406577240174,0.001104755544089223,0.014775787863524882,0.12218845979896656,0.0929222851882788,0.7995426037184248
curs,97883,1175,96708,0.012004127376561813,0.0017358570254958885,0.019310311963065156,0.14460501551201196,0.1155443265316108,0.9229861246459052
cut,97883,3675,94208,0.03754482392243801,0.004122239665535721,0.02817940143791143,0.10979515243037634,0.0815837783233302,0.919019674849564
cuz,97883,906,96977,0.009255948428225535,0.00145080661519795,0.019451564999888676,0.15674316105454852,0.1095905646931882,0.8746285335177084
da,97883,541,97342,0.00552700673252761,0.0019420732180189645,0.034295033095176536,0.35137884066423347,0.2355029806356775,0.997731705573532
daddi,97883,1069,96814,0.010921201843016664,0.0015615133230481243,0.020805599378002214,0.1429799893357526,0.0954236731510458,0.9213908763309878
damn,97883,2140,95743,0.021862836243270026,0.0025580822801243614,0.023575157544129456,0.11700596627355739,0.0794825925478854,0.8221289803245205
danc,97883,5995,91888,0.06124659031701112,0.009116780534196359,0.053280948924806316,0.14885368290721304,0.0904349701643919,0.9990691592805176
danger,97883,1271,96612,0.012984890123923459,0.0018261674367101956,0.02144527264880479,0.14063788135916921,0.1024224687057072,0.9427938483755254
dare,97883,1162,96721,0.011871315754523257,0.0018056913453411525,0.02219803022915712,0.15210540960071256,0.11106717028137995,0.989921133252222
dark,97883,8534,89349,0.08718572172900299,0.009389525336472346,0.0410549594232033,0.10769567711623185,0.078528311329186,0.9609504542922146
darl,97883,1387,96496,0.014169978443652115,0.002504887785215487,0.02714099462681875,0.17677428340320658,0.1240007149238106,0.8248868563809735
dawn,97883,2138,95745,0.021842403686033327,0.003046297930771737,0.02526579109433762,0.139467156388087,0.10917513020320599,0.7564689662948048
day,97883,20684,77199,0.21131350694196133,0.01880521568396147,0.05276647581889418,0.08899201928027463,0.0622604193812008,0.8643803949566902
de,97883,548,97335,0.0055985206828560626,0.0012056172812324219,0.022218367501203165,0.21534568674976856,0.13671391329756535,0.9868146810553758
dead,97883,5318,92565,0.05433016969238785,0.006860324638543518,0.03957823850556033,0.12627099597490696,0.08925243928760435,0.9961585844060948
deal,97883,1261,96622,0.012882727337739954,0.0014521571095881963,0.016577287127466634,0.11272124849946188,0.0840070917416907,0.8580829893763784
dear,97883,1763,96120,0.018011299204151895,0.00296874554310963,0.02854580550741016,0.1648268406104367,0.1213913642272416,1.0
death,97883,3965,93918,0.04050754472175965,0.005728409637922187,0.036114977428594645,0.1414158690009426,0.1065044038294665,1.0
decid,97883,1447,96436,0.014782955160753144,0.0019081074379426162,0.019548411195902705,0.1290748309247665,0.1015221876998872,0.8521253326372819
deep,97883,5421,92462,0.05538244639007795,0.005924748590253444,0.03240602974857507,0.10697881687138497,0.0801031412817849,0.9622384964066042
